name,screentime,episode
Catelyn Stark,0,Episode - 63
Catelyn Stark,0,Episode - 64
Catelyn Stark,0,Episode - 65
Catelyn Stark,0,Episode - 66
Catelyn Stark,0,Episode - 67
Catelyn Stark,0,Episode - 68
Catelyn Stark,0,Episode - 69
Catelyn Stark,0,Episode - 70
Catelyn Stark,0,Episode - 71
Catelyn Stark,0,Episode - 72
Catelyn Stark,0,Episode - 73
Cersei Lannister,786,Episode - 1
Cersei Lannister,528,Episode - 2
Cersei Lannister,228,Episode - 3
Cersei Lannister,349,Episode - 4
Cersei Lannister,379,Episode - 5
Cersei Lannister,269,Episode - 6
Cersei Lannister,685,Episode - 7
Cersei Lannister,501,Episode - 8
Cersei Lannister,330,Episode - 9
Cersei Lannister,197,Episode - 10
Cersei Lannister,546,Episode - 11
Cersei Lannister,277,Episode - 12
Cersei Lannister,170,Episode - 13
Cersei Lannister,0,Episode - 14
Cersei Lannister,98,Episode - 15
Cersei Lannister,190,Episode - 16
Cersei Lannister,368,Episode - 17
Cersei Lannister,324,Episode - 18
Cersei Lannister,775,Episode - 19
Cersei Lannister,273,Episode - 20
Cersei Lannister,413,Episode - 21
Cersei Lannister,131,Episode - 22
Cersei Lannister,244,Episode - 23
Cersei Lannister,343,Episode - 24
Cersei Lannister,270,Episode - 25
Cersei Lannister,172,Episode - 26
Cersei Lannister,0,Episode - 27
Cersei Lannister,429,Episode - 28
Cersei Lannister,0,Episode - 29
Cersei Lannister,427,Episode - 30
Cersei Lannister,195,Episode - 31
Cersei Lannister,1258,Episode - 32
Cersei Lannister,490,Episode - 33
Cersei Lannister,154,Episode - 34
Cersei Lannister,698,Episode - 35
Cersei Lannister,1130,Episode - 36
Cersei Lannister,60,Episode - 37
Cersei Lannister,300,Episode - 38
Cersei Lannister,0,Episode - 39
Cersei Lannister,409,Episode - 40
Cersei Lannister,377,Episode - 41
Cersei Lannister,358,Episode - 42
Cersei Lannister,548,Episode - 43
Cersei Lannister,260,Episode - 44
Cersei Lannister,0,Episode - 45
Cersei Lannister,646,Episode - 46
Cersei Lannister,650,Episode - 47
Cersei Lannister,291,Episode - 48
Cersei Lannister,0,Episode - 49
Cersei Lannister,797,Episode - 50
Cersei Lannister,253,Episode - 51
Cersei Lannister,211,Episode - 52
Cersei Lannister,230,Episode - 53
Cersei Lannister,352,Episode - 54
Cersei Lannister,0,Episode - 55
Cersei Lannister,119,Episode - 56
Cersei Lannister,130,Episode - 57
Cersei Lannister,371,Episode - 58
Cersei Lannister,0,Episode - 59
Cersei Lannister,556,Episode - 60
Cersei Lannister,539,Episode - 61
Cersei Lannister,205,Episode - 62
Cersei Lannister,688,Episode - 63
Cersei Lannister,90,Episode - 64
Cersei Lannister,324,Episode - 65
Cersei Lannister,0,Episode - 66
Cersei Lannister,1580,Episode - 67
Cersei Lannister,294,Episode - 68
Cersei Lannister,0,Episode - 69
Cersei Lannister,0,Episode - 70
Cersei Lannister,541,Episode - 71
Cersei Lannister,586,Episode - 72
Cersei Lannister,130,Episode - 73
Renly Baratheon,0,Episode - 1
Renly Baratheon,0,Episode - 2
Renly Baratheon,174,Episode - 3
Renly Baratheon,393,Episode - 4
Renly Baratheon,904,Episode - 5
Renly Baratheon,113,Episode - 6
Renly Baratheon,533,Episode - 7
Renly Baratheon,0,Episode - 8
Renly Baratheon,0,Episode - 9
Renly Baratheon,0,Episode - 10
Renly Baratheon,0,Episode - 11
Renly Baratheon,0,Episode - 12
Renly Baratheon,621,Episode - 13
Renly Baratheon,301,Episode - 14
Renly Baratheon,352,Episode - 15
Renly Baratheon,0,Episode - 16
Renly Baratheon,0,Episode - 17
Renly Baratheon,0,Episode - 18
Renly Baratheon,0,Episode - 19
Renly Baratheon,0,Episode - 20
Renly Baratheon,0,Episode - 21
Renly Baratheon,0,Episode - 22
Renly Baratheon,0,Episode - 23
Renly Baratheon,0,Episode - 24
Renly Baratheon,0,Episode - 25
Renly Baratheon,0,Episode - 26
Renly Baratheon,0,Episode - 27
Renly Baratheon,0,Episode - 28
Renly Baratheon,0,Episode - 29
Renly Baratheon,0,Episode - 30
Renly Baratheon,0,Episode - 31
Renly Baratheon,0,Episode - 32
Renly Baratheon,0,Episode - 33
Renly Baratheon,0,Episode - 34
Renly Baratheon,0,Episode - 35
Renly Baratheon,0,Episode - 36
Renly Baratheon,0,Episode - 37
Renly Baratheon,0,Episode - 38
Renly Baratheon,0,Episode - 39
Renly Baratheon,0,Episode - 40
Renly Baratheon,0,Episode - 41
Renly Baratheon,0,Episode - 42
Renly Baratheon,0,Episode - 43
Renly Baratheon,0,Episode - 44
Renly Baratheon,0,Episode - 45
Renly Baratheon,0,Episode - 46
Renly Baratheon,0,Episode - 47
Renly Baratheon,0,Episode - 48
Renly Baratheon,0,Episode - 49
Renly Baratheon,0,Episode - 50
Renly Baratheon,0,Episode - 51
Renly Baratheon,0,Episode - 52
