link,name,screentime,episode
1,Renly Baratheon,0,Episode - 50
1,Renly Baratheon,0,Episode - 51
1,Renly Baratheon,0,Episode - 52
1,Renly Baratheon,0,Episode - 53
1,Renly Baratheon,0,Episode - 54
1,Renly Baratheon,0,Episode - 55
1,Renly Baratheon,0,Episode - 56
1,Renly Baratheon,0,Episode - 57
1,Renly Baratheon,0,Episode - 58
1,Renly Baratheon,0,Episode - 59
1,Renly Baratheon,0,Episode - 60
1,Renly Baratheon,0,Episode - 61
1,Renly Baratheon,0,Episode - 62
1,Renly Baratheon,0,Episode - 63
1,Renly Baratheon,0,Episode - 64
1,Renly Baratheon,0,Episode - 65
1,Renly Baratheon,0,Episode - 66
1,Renly Baratheon,0,Episode - 67
1,Renly Baratheon,0,Episode - 68
1,Renly Baratheon,0,Episode - 69
1,Renly Baratheon,0,Episode - 70
1,Renly Baratheon,0,Episode - 71
1,Renly Baratheon,0,Episode - 72
1,Renly Baratheon,0,Episode - 73
1,Stannis Baratheon,0,Episode - 1
1,Stannis Baratheon,0,Episode - 2
1,Stannis Baratheon,0,Episode - 3
1,Stannis Baratheon,0,Episode - 4
1,Stannis Baratheon,0,Episode - 5
1,Stannis Baratheon,0,Episode - 6
1,Stannis Baratheon,0,Episode - 7
1,Stannis Baratheon,0,Episode - 8
1,Stannis Baratheon,0,Episode - 9
1,Stannis Baratheon,0,Episode - 10
1,Stannis Baratheon,373,Episode - 11
1,Stannis Baratheon,234,Episode - 12
1,Stannis Baratheon,0,Episode - 13
1,Stannis Baratheon,306,Episode - 14
1,Stannis Baratheon,163,Episode - 15
1,Stannis Baratheon,0,Episode - 16
1,Stannis Baratheon,0,Episode - 17
1,Stannis Baratheon,176,Episode - 18
1,Stannis Baratheon,166,Episode - 19
1,Stannis Baratheon,214,Episode - 20
1,Stannis Baratheon,162,Episode - 21
1,Stannis Baratheon,0,Episode - 22
1,Stannis Baratheon,114,Episode - 23
1,Stannis Baratheon,0,Episode - 24
1,Stannis Baratheon,272,Episode - 25
1,Stannis Baratheon,0,Episode - 26
1,Stannis Baratheon,0,Episode - 27
1,Stannis Baratheon,391,Episode - 28
1,Stannis Baratheon,0,Episode - 29
1,Stannis Baratheon,322,Episode - 30
1,Stannis Baratheon,0,Episode - 31
1,Stannis Baratheon,179,Episode - 32
1,Stannis Baratheon,110,Episode - 33
1,Stannis Baratheon,0,Episode - 34
1,Stannis Baratheon,0,Episode - 35
1,Stannis Baratheon,355,Episode - 36
1,Stannis Baratheon,0,Episode - 37
1,Stannis Baratheon,0,Episode - 38
1,Stannis Baratheon,0,Episode - 39
1,Stannis Baratheon,234,Episode - 40
1,Stannis Baratheon,379,Episode - 41
1,Stannis Baratheon,141,Episode - 42
1,Stannis Baratheon,270,Episode - 43
1,Stannis Baratheon,279,Episode - 44
1,Stannis Baratheon,335,Episode - 45
1,Stannis Baratheon,0,Episode - 46
1,Stannis Baratheon,212,Episode - 47
1,Stannis Baratheon,0,Episode - 48
1,Stannis Baratheon,523,Episode - 49
1,Stannis Baratheon,435,Episode - 50
1,Stannis Baratheon,0,Episode - 51
1,Stannis Baratheon,0,Episode - 52
1,Stannis Baratheon,0,Episode - 53
1,Stannis Baratheon,0,Episode - 54
1,Stannis Baratheon,0,Episode - 55
1,Stannis Baratheon,0,Episode - 56
1,Stannis Baratheon,0,Episode - 57
1,Stannis Baratheon,0,Episode - 58
1,Stannis Baratheon,0,Episode - 59
1,Stannis Baratheon,0,Episode - 60
1,Stannis Baratheon,0,Episode - 61
1,Stannis Baratheon,0,Episode - 62
1,Stannis Baratheon,0,Episode - 63
1,Stannis Baratheon,0,Episode - 64
1,Stannis Baratheon,0,Episode - 65
1,Stannis Baratheon,0,Episode - 66
1,Stannis Baratheon,0,Episode - 67
1,Stannis Baratheon,0,Episode - 68
1,Stannis Baratheon,0,Episode - 69
1,Stannis Baratheon,0,Episode - 70
1,Stannis Baratheon,0,Episode - 71
1,Stannis Baratheon,0,Episode - 72
1,Stannis Baratheon,0,Episode - 73
1,Davos Seaworth,0,Episode - 1
1,Davos Seaworth,0,Episode - 2
1,Davos Seaworth,0,Episode - 3
1,Davos Seaworth,0,Episode - 4
1,Davos Seaworth,0,Episode - 5
1,Davos Seaworth,0,Episode - 6
1,Davos Seaworth,0,Episode - 7
1,Davos Seaworth,0,Episode - 8
1,Davos Seaworth,0,Episode - 9
1,Davos Seaworth,0,Episode - 10
1,Davos Seaworth,432,Episode - 11
1,Davos Seaworth,333,Episode - 12
1,Davos Seaworth,0,Episode - 13
1,Davos Seaworth,530,Episode - 14
1,Davos Seaworth,163,Episode - 15
1,Davos Seaworth,0,Episode - 16
1,Davos Seaworth,0,Episode - 17
1,Davos Seaworth,176,Episode - 18
1,Davos Seaworth,245,Episode - 19
1,Davos Seaworth,0,Episode - 20
1,Davos Seaworth,462,Episode - 21
1,Davos Seaworth,0,Episode - 22
1,Davos Seaworth,0,Episode - 23
1,Davos Seaworth,0,Episode - 24
1,Davos Seaworth,92,Episode - 25
1,Davos Seaworth,0,Episode - 26
1,Davos Seaworth,0,Episode - 27
1,Davos Seaworth,354,Episode - 28
1,Davos Seaworth,0,Episode - 29
1,Davos Seaworth,728,Episode - 30
1,Davos Seaworth,0,Episode - 31
1,Davos Seaworth,92,Episode - 32
1,Davos Seaworth,237,Episode - 33
1,Davos Seaworth,0,Episode - 34
1,Davos Seaworth,0,Episode - 35
1,Davos Seaworth,474,Episode - 36
1,Davos Seaworth,0,Episode - 37
1,Davos Seaworth,0,Episode - 38
1,Davos Seaworth,0,Episode - 39
1,Davos Seaworth,218,Episode - 40
1,Davos Seaworth,344,Episode - 41
1,Davos Seaworth,141,Episode - 42
1,Davos Seaworth,260,Episode - 43
1,Davos Seaworth,0,Episode - 44
1,Davos Seaworth,212,Episode - 45
1,Davos Seaworth,0,Episode - 46
1,Davos Seaworth,126,Episode - 47
1,Davos Seaworth,0,Episode - 48
1,Davos Seaworth,300,Episode - 49
1,Davos Seaworth,69,Episode - 50
1,Davos Seaworth,413,Episode - 51
1,Davos Seaworth,629,Episode - 52
1,Davos Seaworth,525,Episode - 53
1,Davos Seaworth,99,Episode - 54
1,Davos Seaworth,151,Episode - 55
1,Davos Seaworth,0,Episode - 56
1,Davos Seaworth,745,Episode - 57
1,Davos Seaworth,0,Episode - 58
1,Davos Seaworth,1042,Episode - 59
1,Davos Seaworth,497,Episode - 60
1,Davos Seaworth,300,Episode - 61
1,Davos Seaworth,330,Episode - 62
1,Davos Seaworth,848,Episode - 63
1,Davos Seaworth,450,Episode - 64
1,Davos Seaworth,990,Episode - 65
1,Davos Seaworth,53,Episode - 66
1,Davos Seaworth,1446,Episode - 67
1,Davos Seaworth,305,Episode - 68
1,Davos Seaworth,1006,Episode - 69
1,Davos Seaworth,250,Episode - 70
1,Davos Seaworth,699,Episode - 71
1,Davos Seaworth,246,Episode - 72
1,Davos Seaworth,1173,Episode - 73
1,Theon Greyjoy,1196,Episode - 1
1,Theon Greyjoy,109,Episode - 2
1,Theon Greyjoy,0,Episode - 3
1,Theon Greyjoy,244,Episode - 4
1,Theon Greyjoy,259,Episode - 5
1,Theon Greyjoy,366,Episode - 6
1,Theon Greyjoy,222,Episode - 7
1,Theon Greyjoy,406,Episode - 8
1,Theon Greyjoy,332,Episode - 9
1,Theon Greyjoy,136,Episode - 10
1,Theon Greyjoy,160,Episode - 11
1,Theon Greyjoy,575,Episode - 12
1,Theon Greyjoy,375,Episode - 13
1,Theon Greyjoy,0,Episode - 14
1,Theon Greyjoy,224,Episode - 15
1,Theon Greyjoy,591,Episode - 16
1,Theon Greyjoy,300,Episode - 17
1,Theon Greyjoy,274,Episode - 18
1,Theon Greyjoy,0,Episode - 19
1,Theon Greyjoy,409,Episode - 20
1,Theon Greyjoy,0,Episode - 21
1,Theon Greyjoy,165,Episode - 22
1,Theon Greyjoy,306,Episode - 23
1,Theon Greyjoy,261,Episode - 24
1,Theon Greyjoy,0,Episode - 25
1,Theon Greyjoy,332,Episode - 26
1,Theon Greyjoy,323,Episode - 27
1,Theon Greyjoy,0,Episode - 28
1,Theon Greyjoy,0,Episode - 29
1,Theon Greyjoy,218,Episode - 30
1,Theon Greyjoy,0,Episode - 31
1,Theon Greyjoy,436,Episode - 32
1,Theon Greyjoy,0,Episode - 33
1,Theon Greyjoy,0,Episode - 34
1,Theon Greyjoy,0,Episode - 35
1,Theon Greyjoy,383,Episode - 36
1,Theon Greyjoy,0,Episode - 37
1,Theon Greyjoy,371,Episode - 38
1,Theon Greyjoy,0,Episode - 39
1,Theon Greyjoy,0,Episode - 40
1,Theon Greyjoy,0,Episode - 41
1,Theon Greyjoy,0,Episode - 42
1,Theon Greyjoy,245,Episode - 43
1,Theon Greyjoy,0,Episode - 44
1,Theon Greyjoy,389,Episode - 45
1,Theon Greyjoy,442,Episode - 46
1,Theon Greyjoy,265,Episode - 47
1,Theon Greyjoy,170,Episode - 48
1,Theon Greyjoy,0,Episode - 49
1,Theon Greyjoy,124,Episode - 50
1,Theon Greyjoy,404,Episode - 51
1,Theon Greyjoy,136,Episode - 52
1,Theon Greyjoy,0,Episode - 53
1,Theon Greyjoy,186,Episode - 54
1,Theon Greyjoy,366,Episode - 55
1,Theon Greyjoy,0,Episode - 56
1,Theon Greyjoy,197,Episode - 57
1,Theon Greyjoy,0,Episode - 58
1,Theon Greyjoy,244,Episode - 59
1,Theon Greyjoy,93,Episode - 60
1,Theon Greyjoy,0,Episode - 61
1,Theon Greyjoy,513,Episode - 62
1,Theon Greyjoy,46,Episode - 63
1,Theon Greyjoy,98,Episode - 64
1,Theon Greyjoy,0,Episode - 65
1,Theon Greyjoy,0,Episode - 66
1,Theon Greyjoy,1896,Episode - 67
1,Theon Greyjoy,107,Episode - 68
1,Theon Greyjoy,265,Episode - 69
1,Theon Greyjoy,413,Episode - 70
1,Theon Greyjoy,103,Episode - 71
1,Theon Greyjoy,0,Episode - 72
1,Theon Greyjoy,0,Episode - 73
1,Joffrey Baratheon,531,Episode - 1
1,Joffrey Baratheon,620,Episode - 2
1,Joffrey Baratheon,159,Episode - 3
1,Joffrey Baratheon,249,Episode - 4
1,Joffrey Baratheon,239,Episode - 5
